Store,Weekdays,Weekends,Latitude,Longitude
Countdown Birkenhead,7.114533205,4.5,-36.81111802,174.7248776
Countdown Northcote,7.08652359,4.5,-36.80035237,174.7455338
Countdown Hauraki Corner,6.506713276,4.5,-36.79667981,174.7781249
Countdown Takapuna,7.05897563,2,-36.79125414,174.7662056
Countdown Glenfield,6.299141026,4.5,-36.78148813,174.7234262
Countdown Milford,7.384320307,3,-36.77197217,174.7666177
Countdown Sunnynook,8.066463938,3,-36.75907026,174.7406941
Countdown Mairangi Bay,8.164467484,3.5,-36.73941255,174.7540551
Countdown Browns Bay,7.048861426,4.5,-36.71714479,174.7472772
