Store,Weekdays,Weekends,Latitude,Longitude
SuperValue Palomino,5,1000,-36.88287566,174.6161793
Countdown Henderson,7.75,4,-36.88089456,174.6332277
Countdown Te Atatu South,7.916666667,3.5,-36.86472278,174.6476292
FreshChoice Ranui,4.666666667,1000,-36.86353948,174.6015834
Countdown Lincoln Road,8.333333333,4,-36.8568778,174.6325126
Countdown Te Atatu,7.333333333,3.5,-36.84209292,174.6542381
Countdown Westgate,7.833333333,5.5,-36.82092949,174.6146464
Countdown Northwest,7.916666667,2.5,-36.81879206,174.6129291
Countdown Hobsonville,8.666666667,6,-36.79748845,174.6487257
