Store,Weekdays,Weekends,Latitude,Longitude
Countdown Lynfield,7.561684193,3,-36.92514077,174.7239957
Countdown Blockhouse Bay,6.508264463,2,-36.92291876,174.7023521
Countdown Onehunga,7.093414537,3.5,-36.92249969,174.7838024
Countdown Three Kings,8.513342555,4,-36.90796057,174.7559072
Countdown Lynmall,6.608102793,4.5,-36.90687152,174.6850146
Countdown Mt Roskill,7.565089242,4.5,-36.90203359,174.7356996
Countdown Mt Roskill,7.565089242,4.5,-36.90203359,174.7356996
Countdown Kelston,7.298068248,4.5,-36.90955497,174.6638042
