Store,Weekdays,Weekends,Latitude,Longitude
Countdown Henderson,7.182370545,4,-36.88089456,174.6332277
Countdown Te Atatu South,7.324420018,3.5,-36.86472278,174.6476292
Countdown Lincoln Road,7.686335404,4,-36.8568778,174.6325126
Countdown Te Atatu,6.885160393,3.5,-36.84209292,174.6542381
Countdown Westgate,7.580334379,5.5,-36.82092949,174.6146464
Countdown Northwest,7.312537097,2.5,-36.81879206,174.6129291
Countdown Hobsonville,8.044342552,6,-36.79748845,174.6487257
