Store,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
FreshChoice Mangere Bridge,5.5,4,4,2,5,0,0
Countdown Lynfield,10.5,7,7,8,6,6,0
Countdown Blockhouse Bay,7,5.5,7,7.5,8,2,0
Countdown Onehunga,5.5,7,7,9,9,6,0
Countdown Three Kings,9.5,11.5,7,7,7,4,0
Countdown Lynmall,7,8.5,7,4.5,6,5,0
Countdown Mt Roskill,8.5,8.5,5,7,10,5,0
SuperValue Avondale,3.5,5,5,4,4,0,0
FreshChoice Glen Eden,5,4,3,2.5,3,0,0
Countdown Kelston,6,8,6,7.5,9,5,0
SuperValue Titirangi,3.5,4.5,4,3,4,0,0
