Store,Weekdays,Weekends,Latitude,Longitude
Countdown Birkenhead,8.5,1,-36.81111802,174.7248776
Countdown Northcote,7,1.5,-36.80035237,174.7455338
Countdown Hauraki Corner,7,1,-36.79667981,174.7781249
Countdown Takapuna,8,1,-36.79125414,174.7662056
Countdown Glenfield,7,1.5,-36.78148813,174.7234262
Countdown Milford,9,1,-36.77197217,174.7666177
Countdown Sunnynook,9,1,-36.75907026,174.7406941
Countdown Mairangi Bay,9,1,-36.73941255,174.7540551
Countdown Browns Bay,7.5,1,-36.71714479,174.7472772
